2023-03-25T19:57:05.798270173Z {"level":"info","time":"2023-03-25T19:57:05.798224Z","scope":"xdsproxy","msg":"connected to upstream XDS server: istiod-basic.istio-system.svc:15012"}
2023-03-25T20:28:24.458428365Z {"level":"info","time":"2023-03-25T20:28:24.458379Z","scope":"xdsproxy","msg":"connected to upstream XDS server: istiod-basic.istio-system.svc:15012"}
2023-03-25T20:59:34.049782167Z {"level":"info","time":"2023-03-25T20:59:34.049738Z","scope":"xdsproxy","msg":"connected to upstream XDS server: istiod-basic.istio-system.svc:15012"}
2023-03-25T21:30:35.073172639Z {"level":"info","time":"2023-03-25T21:30:35.073126Z","scope":"xdsproxy","msg":"connected to upstream XDS server: istiod-basic.istio-system.svc:15012"}
2023-03-25T22:02:39.693858149Z {"level":"info","time":"2023-03-25T22:02:39.693813Z","scope":"xdsproxy","msg":"connected to upstream XDS server: istiod-basic.istio-system.svc:15012"}
2023-03-25T22:30:02.389674552Z {"level":"info","time":"2023-03-25T22:30:02.389624Z","scope":"xdsproxy","msg":"connected to upstream XDS server: istiod-basic.istio-system.svc:15012"}
2023-03-25T23:02:44.443433428Z {"level":"info","time":"2023-03-25T23:02:44.443387Z","scope":"xdsproxy","msg":"connected to upstream XDS server: istiod-basic.istio-system.svc:15012"}
2023-03-25T23:33:33.026962656Z {"level":"info","time":"2023-03-25T23:33:33.026915Z","scope":"xdsproxy","msg":"connected to upstream XDS server: istiod-basic.istio-system.svc:15012"}
2023-03-26T00:01:40.541432580Z {"level":"info","time":"2023-03-26T00:01:40.541378Z","scope":"xdsproxy","msg":"connected to upstream XDS server: istiod-basic.istio-system.svc:15012"}
2023-03-26T00:28:51.470290126Z {"level":"info","time":"2023-03-26T00:28:51.470238Z","scope":"xdsproxy","msg":"connected to upstream XDS server: istiod-basic.istio-system.svc:15012"}
2023-03-26T00:58:26.292081419Z {"level":"info","time":"2023-03-26T00:58:26.292025Z","scope":"xdsproxy","msg":"connected to upstream XDS server: istiod-basic.istio-system.svc:15012"}
2023-03-26T01:28:37.136267896Z {"level":"info","time":"2023-03-26T01:28:37.136222Z","scope":"xdsproxy","msg":"connected to upstream XDS server: istiod-basic.istio-system.svc:15012"}
2023-03-26T01:57:38.729647150Z {"level":"info","time":"2023-03-26T01:57:38.729604Z","scope":"xdsproxy","msg":"connected to upstream XDS server: istiod-basic.istio-system.svc:15012"}
2023-03-26T02:25:02.049241056Z {"level":"info","time":"2023-03-26T02:25:02.049193Z","scope":"xdsproxy","msg":"connected to upstream XDS server: istiod-basic.istio-system.svc:15012"}
2023-03-26T02:57:15.218697455Z {"level":"info","time":"2023-03-26T02:57:15.218652Z","scope":"xdsproxy","msg":"connected to upstream XDS server: istiod-basic.istio-system.svc:15012"}
